Dispaly_name,Model_hash,SHA215,Filename,Type
MeinaMix V10,77b7dc4ef0,77b7dc4ef0fca64ed8c3c38e80efa3e559488ee377f4138ec4bce488ef6c8412,meinamix_meinaV10,safetensors
Waifu Diffusion 1.4 Anime,e8f4b2225b,e8f4b2225b8ac6464e9d13d25b708349b1ca340c92dfc3575e8d5ef18f689457,wd-1-4-anime_e1,ckpt
FaceBombMix V1-BakedVAE,7364c31aac,7364c31aac1c3afbad151f719fea246d6016c6ad08d27c5666fb2c686f5c6113,facebombmix_v1Bakedvae,safetensors
f111,6138f9c13c,6138f9c13c4caaaead14ac421a8c688f84a4783ec5ee4c13b91833beb8f17c3c,f111,ckpt
CetusMix_Version3.5,a611cf9c19,a611cf9c19e8f8011a0912cb064b8b71a542d834422e9da53420eac87db38bd8,cetusMix_Version35,safetensors
MeinaHentai V3,7c01e48033,7c01e4803344e6888bd72fa4f4c7d33a7270a977fee9cb0ca2ea7a96530e8884,meinahentai_v3,safetensors
ReV Animated V1.2.2,4199bcdd14,4199bcdd147e11328d5f3560301d5a7ab4ac7eeefbf49dc3eb663cb3e772b9ac,revAnimated_v122,safetensors
Perfect World v4,24a393500f,24a393500f15c3243a4212c2ceab764e43f343d8442b0f4cec430dac6ea00ecb,perfectWorld_v4Baked,safetensors
AnythingGape-fp16,1bb0969a92,1bb0969a9236a9e105393f840c695598dc27a888c83a3c9debf5d9225cfc02fa,AnythingGape-fp16,ckpt
DreamShaper 6-BakedVAE,b76cc78ad9,b76cc78ad9e2f001603f200d4e26153ce565a6ac3c179ada73d2e4a4071d4eac,dreamshaper_6BakedVae,safetensors
GhostMix v2.0-BakedVAE,e3edb8a26f,e3edb8a26f44dfddc124129004b5ded3378be974b8d3bf82f43b9660d416d3d1,ghostmix_v20Bakedvae,safetensors
Any Hentai 2.0,61bc7001e8,61bc7001e86117c96a1de88c338bb07daa5bafef0cbe355ee40c6228a21ead12,anyhentai_20,safetensors
PerfectWorld v3,0f49d1caa2,0f49d1caa209f0361165def825bedc6a7a2b3d1f4ada14af992a61bd37feb6e4,perfectWorld_v3Baked,safetensors
Stable Diffusion v1.4,fe4efff1e1,fe4efff1e174c627256e44ec2991ba279b3816e364b49f9be2abc0b3ff3f8556,sd-v1-4,ckpt
NAI Diffusion Leaked,89d59c3dde,89d59c3dde4c56c6d5c41da34cc55ce479d93b4007046980934b14db71bdb2a8,model,ckpt
PerfectWorld v2,79e42fb744,79e42fb7445bb08cb16e92cfd57f3ab09b57f18b1b8bcb27cb5d5d4e19ac1eec,perfectWorld_v2Baked,safetensors
bp_mk5,f87dabceff,f87dabceffd299a8f3f72f031829338e34ad3c1e2541815af08fa694d65fb4c0,bp_mk5,safetensors
Anything V3,10f0bd7ade,10f0bd7adec2038b7652874b54ec05cd7d8d699c9bfe048825dff840145c9102,Anything-V3.0,safetensors
AbyssOrangeMix3,d124fc18f0,d124fc18f0232d7f0a2a70358cdb1288af9e1ee8596200f50f0936be59514f6d,AOM3,safetensors
Waifu Diffusion 1.5 Beta 2,764f93581d,764f93581d80b46011039bb388e899f17f7869fce7e7928b060e9a5574bd8f84,wd-1-5-beta2-fp32,safetensors
Waifu Diffusion 1.3,a8941cf7bf,a8941cf7bf04f5685af5c54963a3c6b755bfdf12884aedfd1b0c228cd5ae127d,wd-v1-3-full,ckpt
instagram-latest-plus-clip-v6e1_50000,8f1d325b19,8f1d325b194570754c6bd06cf1e90aa9219a7e732eb3d488fb52157e9451a2a5,instagram-latest-plus-clip-v6e1_50000,safetensors
gape60,17a40d7de3,17a40d7de3ceb5e138e003e2a0b5b313d2db2d61be7c918b394a90788a1ea775,gape60,ckpt
3DKX_1.0b,1d45c7c094,1d45c7c094cf7d75b6703c503cea35dbbb3f1f034c55d6b062abf94ed3b58f8d,3DKX_1.0b,safetensors
Anything V3-pruned-fp32,875546ff2e,875546ff2e9b953541de94de079424c1771ca9f9dc89064735fea3d87141aabe,Anything-V3.0-pruned-fp32,safetensors
last-pruned,54faf6de03,54faf6de03fb9a6fe4d8af163b16133cd7cd045d45915178c602e4b51a92036c,last-pruned,ckpt
HD-22,a05d076a39,a05d076a39d8e613d8d24659cb859e9afc2b95cabf80ec1fe015124078d4ff29,HD-22,ckpt
BasilMix-fixed,0ff127093f,0ff127093f5be455057742c40cef578407b6933f240ee8dc5ed0f3061196fb38,Basil_mix_fixed,safetensors
ChilloutMix Ni-Pruned-Fp32-Fix,fc2511737a,fc2511737a54c5e80b89ab03e0ab4b98d051ab187f92860f3cd664dc9d08b271,chilloutmix_NiPrunedFp32Fix,safetensors
derrida_final,42d3f359b0,42d3f359b02c944cb2e8f666b10bda05015792f10bfd4e9deee44bb66969ce3d,derrida_final,ckpt
majicMIX realistic V5,33c9f6dfcb,33c9f6dfcbd3b86e76ffdfc58253ee73f6c1b513238481dcd5d6a27b7ad3df0f,majicmixRealistic_v5,safetensors
Elysium V1,abbb28cb5e,abbb28cb5e70d3e0a635f241b8d61cefe42eb8f1be91fd1168bc3e52b0f09ae4,Elysium_V1,ckpt
Uber Realistic Porn Merge V1.3,40f9701da0,40f9701da0953f5215fb45f801ba61afc94e39a5f5d0d01a2bca2d41ab219b78,uberRealisticPornMerge_urpmv13,safetensors
AbyssOrangeMix3 A2,553398964f,553398964f9277a104da840a930794ac5634fc442e6791e5d7e72b82b3bb88c3,AOM3A2,safetensors
Hassaku (hentai model) V1,df614cd3c2,df614cd3c2a592e5e6eb4e8dfafe83c58de750781b6390bdd6b449b73315ce4b,hassakuHentaiModel_hassakuv1,safetensors
f222,f300684443,f300684443092d39cd717c92ae19836114960a560dabb887d2fca370e2cc2531,f222,safetensors
AbyssOrangeMix2 Hard,0fc198c490,0fc198c4908e98d7aae2a76bd78fa004e9c21cb0be7582e36008b4941169f18e,AbyssOrangeMix2_hard,safetensors
trinart_characters_it4_v1,d58058f2c7,d58058f2c71612aa7492d63ad8e6c32b3159494dc51a29ffe71937cdc49b6681,trinart_characters_it4_v1,ckpt
evt_v2-ema-pruned,39230a52bc,39230a52bcf51cb9768f21c83e0a7478351e9add7c9294bfc17ba36ecc85d71c,evt_v2-ema-pruned,ckpt
AbyssOrangeMix3 A1B,5493a0ec49,5493a0ec491f5961dbdc1c861404088a6ae9bd4007f6a3a7c5dee8789cdc1361,AOM3A1B,safetensors
gape22_yiffy15,aea020931f,aea020931f4db09dd459db495cc8b1c81e415430e756eda3dbba38b08da77fa0,gape22_yiffy15,ckpt
Anything V3-pruned,6806d4c0f8,6806d4c0f86a2f39d60a97bcf926f39d8b8fce2c71e39baf4ef0ee40a5655632,Anything-V3.0-pruned,safetensors
bp_1024_with_vae_te,d5d6e1898f,d5d6e1898fbc096237038661a5a09bdd25ea31f7a942b0df414d4bae36e9a124,bp_1024_with_vae_te,ckpt
bp_mk3,97848d7d80,97848d7d80b242a1483d0307509b422fee12a0e7096ff202397a6e395a71aea9,bp_mk3,safetensors
Anything V3-pruned-fp16,ed376204fb,ed376204fb1e93cde85757de92c9f737dfb53cef97e7fadb33b99f94e2423469,Anything-V3.0-pruned-fp16,safetensors
AbyssOrangeMix3 A3,eb4099ba9c,eb4099ba9cd5e69ab526fca22a2e967f286f8512d9509b735c892fa6468767cf,AOM3A3,safetensors
URPM-OrangeHard-chilloutNi v2.0,5363c6dd80,5363c6dd805045dfc07103f05668b24bea388ce19280db92270acfb438deff87,urpmOrangehard_v20,safetensors
gg1342_testrun1_pruned,ebe2f8dfee,ebe2f8dfeed0b87080a37e94bf0aca8800fc10691826a5e76259faf509106246,gg1342_testrun1_pruned,ckpt
Anything V4.5,1d1e459f9f,1d1e459f9f549a404746390de21df33b8c8134f863b3b5da7d784843e782900a,anything-v4.5,safetensors
3DKX_v1.1,998f6b580e,998f6b580e656a1139205a09ccb0ad282765525a38b0d690fc4fb50a249057af,3DKX_v1.1,safetensors
Evt_V3_ema,af99db519a,af99db519a64052f13daf3e714ab0298fb74f78d552c6acca487a5463d9152d7,Evt_V3_ema,ckpt
AbyssOrangeMix,6bb3a5a3b1,6bb3a5a3b1eadd32dfbc8f0987559c48cb4177aee7582baa6d6a25181929b345,AbyssOrangeMix,safetensors
Elysium Anime V3,50265e48df,50265e48dfa0b53c6fa242e66c10106c85d1d68f1f188109475f6b70043d5497,Elysium_Anime_V3,safetensors
bp_1024_e10_ema,b62854e4c4,b62854e4c4817c2b515e1b1a13b1ec8498ba71fdbd492496f021a4d257698d0b,bp_1024_e10_ema,ckpt
AbyssOrangeMix3 A1,f303d10812,f303d108122ddd43a34c160bd46dbb08cb0e088e979acda0bf168a7a1f5820e0,AOM3A1,safetensors
ACertainty,a64573359a,a64573359af0f1071ef01d0dc93df2bc90eb1d0bcf3e26058fbf5aeff37c6462,ACertainty,ckpt
Waifu Diffusion 1.5 Beta 2 Aesthetic,711cd95c77,711cd95c77dc04e4f76a40c06b4c8fce64c1c4373c7d461a9121cb624afe6dcd,wd-1-5-beta2-aesthetic-fp32,safetensors
r34_e4,182b9a6201,182b9a620161dcaed6790c3575abdda32570ac314e76e04fe3154637059a739b,r34_e4,ckpt
AnythingV3 pruned-fp16,38c1ebe3,,Anything-V3.0-pruned-fp16.ckpt,ckpt
Anything-V3.0.vae,f921fb3f29,f921fb3f29891d2a77a6571e56b8b5052420d2884129517a333c60b1b4816cdf,Anything-V3.0.vae,pt
autoencoder_kl-f8-trinart_characters.vae,d2dd1c8222,d2dd1c82220e31a72bd9958dda249ed7f94faf875d5123ae3aab7a1950a82a8f,autoencoder_kl-f8-trinart_characters.vae,pt
HD-22.vae,f921fb3f29,f921fb3f29891d2a77a6571e56b8b5052420d2884129517a333c60b1b4816cdf,HD-22.vae,pt
kl-f8-anime.vae,2f11c4a99d,2f11c4a99ddc28d0ad8bce0acc38bed310b45d38a3fe4bb367dc30f3ef1a4868,kl-f8-anime.vae,pt
kl-f8-anime2.vae,df3c506e51,df3c506e51b7ee1d7b5a6a2bb7142d47d488743c96aa778afb0f53a2cdc2d38d,kl-f8-anime2.vae,pt
ClearVAE_V2.2,54b156d6ce,54b156d6ce34d0627ca0b63a824f58f5bf9c4e879549eb84ec499662726c4013,ClearVAE_V2.2,safetensors
model.vae,f921fb3f29,f921fb3f29891d2a77a6571e56b8b5052420d2884129517a333c60b1b4816cdf,model.vae,pt
vae-ft-mse-840000-ema-pruned.vae,c6a580b13a,c6a580b13a5bc05a5e16e4dbb80608ff2ec251a162311590c1f34c013d7f3dab,vae-ft-mse-840000-ema-pruned.vae,pt
clearvae_main,600345c503,600345c503784cd77536d714f0e4c43f9e1fa4379007e730d54c454c66ee36db,clearvae_main,safetensors
